Ticket_No,Title,Description,Category,Priority,Department,Status,Resolution_Time_Hours,Arising_Date,Closing_Date,Sentiment_Label,Is_Resolved,Resolution_Speed,SLA_Status,Month,Year,Quarter,Weekday,Priority_Score,Description_Length,Word_Count
1352244977,Problems Synchronizing Multiple Products on a Daily Basis,Several software and hardware products experience intermittent failures when syncing with the SaaS platform. Attempts to resolve this by rebooting devices and clearing caches have been unsuccessful.,Incident,Medium,Technical Support,Closed,34.0,2025-10-29 22:21:57,2025-10-31 08:21:57,Urgent,True,Medium,Within SLA,October,2025,4,Wednesday,2,198,27
1352244978,Recurring Connection Problems with SaaS Application on Diverse Devices,I am reaching out to document the ongoing connectivity issues with the SaaS application across different devices. After multiple attempts to resolve the issue by resettin ... olution at your earliest convenience. Please.,Problem,High,Product Support,Closed,107.0,2024-08-11 23:33:37,2024-08-16 10:33:37,Neutral,True,Slow,Breached,August,2024,3,Sunday,3,220,33
1352244979,Support Required for GIMP,Is it possible to get advice on optimizing GIMP for data analytics scenarios? Thank you!,Request,Low,Technical Support,Closed,164.0,2025-11-18 04:14:35,2025-11-25 00:14:35,Neutral,True,Slow,Breached,November,2025,4,Tuesday,1,88,15
1352244980,Project Delay,"The user has reported sporadic delays in project task updates, potentially caused by database synchronization problems. Attempts to resolve included clearing the cache and refreshing the page.",Problem,Low,Product Support,Closed,94.0,2023-09-28 08:12:34,2023-10-02 06:12:34,Neutral,True,Slow,Breached,September,2023,3,Thursday,1,192,27
1352244981,Unanticipated Billing Discrepancy Causing Confusion in Accounts,"Received an unexpected billing discrepancy for the current month, leading to confusion with account details. This might have occurred due to a misalignment in subscriptio ... to possibly avoid any further complications.",Problem,Medium,Billing and Payments,Resolved,8.0,2025-08-14 04:03:33,2025-08-14 12:03:33,Frustrated,True,Fast,Within SLA,August,2025,3,Thursday,2,219,32
1352244982,Support Request for Enhancements in Data Analytics Tools,"Seeking to enhance data analytics tools for improved investment optimization and performance tracking across affected products, aiming for better growth results.",Change,High,Product Support,Closed,154.0,2025-06-03 01:46:54,2025-06-09 11:46:54,Satisfied,True,Slow,Breached,June,2025,2,Tuesday,3,161,21
1352244983,Unauthorized Access to Medical Data Servers,"There have been unauthorized access attempts to our medical data servers. This might have occurred due to outdated security protocols. To date, we have updated our antivi ... e. Please let us know the next steps to take.",Problem,Medium,Customer Service,Resolved,99.0,2024-04-12 12:13:28,2024-04-16 15:13:28,Satisfied,True,Slow,Breached,April,2024,2,Friday,2,220,38
1352244984,Innovative Digital Strategies For Electronics,"Hello Customer Support, I am contacting you to seek advice on the best digital strategies that can enhance brand growth for electronics companies. With the digital age's ... r. Thank you for your consideration and help.",Request,Medium,Customer Service,In Progress,0.0,2024-09-22 19:34:46,,Frustrated,False,Unresolved,Within SLA,September,2024,3,Sunday,2,219,36
1352244985,Enhancing Security of Medical Data with Symantec,Enquiring about securing medical data in a healthcare setting using Symantec Endpoint Protection. Could you provide details on best practices and configurations to ensure ... ooking forward to your assistance. Thank you.,Request,Medium,Billing and Payments,Resolved,4.0,2025-05-01 04:34:47,2025-05-01 08:34:47,Satisfied,True,Fast,Within SLA,May,2025,2,Thursday,2,220,32
1352244986,Smart Home Support,inquiring about digital marketing strategies to employ for promoting smart home devices. Would appreciate detailed information on methods to use for reaching potential cu ... ng forward to your assistance on this matter.,Request,High,Technical Support,Resolved,34.0,2023-01-01 15:08:04,2023-01-03 01:08:04,Urgent,True,Medium,Within SLA,January,2023,1,Sunday,3,220,33
1352244987,Concerns About Service Outages,"There were sporadic service outages impacting several applications, which might be related to recent updates or server overload. We have restarted the affected services and are keeping an eye on the server load.",Incident,Low,Service Outages and Maintenance,Closed,140.0,2024-04-17 01:16:45,2024-04-22 21:16:45,Neutral,True,Slow,Breached,April,2024,2,Wednesday,1,211,33
1352244988,Issue Reported,To the support team. Regarding '**Issue Detail:** * Observed: Medical data encryption failed unexpectedly during the night. * Suspected: Might be a result of a software u ... and verified configuration settings so far.',Problem,High,Technical Support,Closed,40.0,2024-03-21 16:55:07,2024-03-23 08:55:07,Frustrated,True,Medium,Within SLA,March,2024,1,Thursday,3,219,34
1352244989,Support Inquiry: Investment Tool Problem,The investment optimization tool is offering inaccurate forecasts following the recent data integration modifications.,Problem,Low,IT Support,Closed,8.0,2023-11-23 12:10:42,2023-11-23 20:10:42,Neutral,True,Fast,Within SLA,November,2023,4,Thursday,1,118,14
1352244990,Integration Challenges with Marketing Agency Platform,"Customer Support, drafting a report on integration challenges with the marketing agency platform. The client is facing data synchronization failures across various produc ... s requesting assistance to resolve the issue.",Incident,Medium,Technical Support,Resolved,59.0,2024-10-29 19:23:30,2024-11-01 06:23:30,Frustrated,True,Medium,Within SLA,October,2024,4,Tuesday,2,220,31
1352244991,Support Required for Adobe Photoshop CC 2021,Looking for detailed strategies to leverage Adobe Photoshop CC 2021 in digital marketing campaigns? Need tips on editing and creating engaging visuals.,Request,High,Technical Support,Closed,129.0,2025-06-19 23:23:59,2025-06-25 08:23:59,Frustrated,True,Slow,Breached,June,2025,2,Thursday,3,151,22
1352244992,,"Customer Support, exploring methods to enhance brand growth through digital channels. Could you furnish specific details on effective digital strategies to boost brand gr ... stance. I look forward to your response soon.",Request,Medium,IT Support,Closed,4.0,2025-07-31 09:58:57,2025-07-31 13:58:57,Frustrated,True,Fast,Within SLA,July,2025,3,Thursday,2,220,33
1352244993,Support for Ensuring Medical Data Security in Microsoft Dynamics 365,"Dear Customer Support, I am inquiring about securing medical data within the Microsoft Dynamics 365 environment. It is crucial to ensure that sensitive medical informatio ... this matter. I look forward to your response.",Request,High,Product Support,In Progress,0.0,2025-10-14 01:11:41,,Frustrated,False,Unresolved,Within SLA,October,2025,4,Tuesday,3,220,34
1352244994,Support for Data Breach Event,Underwent a data breach that compromised medical records due to weak access controls.,Problem,High,Technical Support,Closed,108.0,2024-05-15 14:19:19,2024-05-20 02:19:19,Frustrated,True,Slow,Breached,May,2024,2,Wednesday,3,85,13
1352244995,Multiple Equipment Malfunctions Reported,"Dear Customer Support Team,\n\nI am submitting a report regarding a severe problem impacting several vital devices used in clinical procedures. Over the past few hours, n ... ht be connected to recent changes or updates.",Incident,High,Technical Support,Closed,115.0,2024-12-23 08:00:58,2024-12-28 03:00:58,Satisfied,True,Slow,Breached,December,2024,4,Monday,3,220,35
1352244996,Alert Regarding Data Breach,"A medical data breach happened due to inadequate encryption and outdated Apache Hadoop. Patient records were accessed without authorization. Despite updating MongoDB and restarting Cassandra, the problem continues.",Problem,High,Technical Support,Closed,115.0,2024-11-17 06:58:35,2024-11-22 01:58:35,Frustrated,True,Slow,Breached,November,2024,4,Sunday,3,214,28
1352244997,Technical Issue with Data Analytics Dashboard,"The data analytics dashboard encountered a problem and froze while performing investment optimization, which might be related to an outdated GIMP plugin. I have already r ... obe Premiere Pro, but the issue still exists.",Incident,High,Technical Support,Closed,148.0,2024-11-17 20:54:43,2024-11-24 00:54:43,Frustrated,True,Slow,Breached,November,2024,4,Sunday,3,220,35
1352244998,Frequent Crashes in Data Analytics System,"The data analytics system has been experiencing crashes, which might be due to software incompatibilities or resource overload. Despite rebooting the systems and updating ... provide us with the information you require.",Incident,High,Product Support,Closed,114.0,2025-11-15 13:12:32,2025-11-20 07:12:32,Satisfied,True,Slow,Breached,November,2025,4,Saturday,3,219,32
1352244999,Report of Security Breach,"A healthcare organization detected unauthorized access attempts on its hospital network systems, potentially due to outdated security patches on Debian 10. Initial firewa ... keep you informed as new information emerges.",Incident,Low,Technical Support,Closed,145.0,2023-11-28 23:21:56,2023-12-05 00:21:56,Neutral,True,Slow,Breached,November,2023,4,Tuesday,1,220,31
1352245000,Concerns with Digital Tools Integration,"Our marketing agency is facing difficulties with integrating various digital tools, which is impacting the efficiency of our campaigns. The issues might be due to softwar ... eamlessly to enhance our campaign efficiency.",Incident,High,Technical Support,Closed,74.0,2025-03-05 01:56:52,2025-03-08 03:56:52,Frustrated,True,Slow,Breached,March,2025,1,Wednesday,3,220,33
1352245001,Assistance Needed for Data Breach Event,"A healthcare organization encountered a possible data breach impacting several systems, possibly due to outdated security measures. Despite manual security efforts, the i ... to this urgent matter is highly appreciated.",Incident,High,IT Support,Closed,95.0,2025-01-05 01:39:34,2025-01-09 00:39:34,Satisfied,True,Slow,Breached,January,2025,1,Sunday,3,219,31
1352245002,Request for Support on Zoom Connection Issues,"Customer support, I am writing to report the problem with my recent Zoom call. This was a data analysis meeting where the call was frequently dropped, which disrupted our ... l steps I should take to resolve the problem.",Incident,Medium,Technical Support,Closed,51.0,2023-09-21 14:33:13,2023-09-23 17:33:13,Frustrated,True,Medium,Within SLA,September,2023,3,Thursday,2,220,39
1352245003,Assistance Required for Marketing Campaign Enhancement,"The digital campaigns managed by the marketing agency have recently underperformed, potentially due to outdated tactics. Initial modifications resulted in limited progres ... d support to get the campaigns back on track.",Problem,Medium,Customer Service,Closed,123.0,2025-10-20 11:44:10,2025-10-25 14:44:10,Satisfied,True,Slow,Breached,October,2025,4,Monday,2,220,32
1352245004,,Seeking information on data analytics tools and techniques to enhance investment strategies for financial organizations. Could you supply comprehensive details about the ... of how these solutions can benefit our firm.,Request,High,Customer Service,Closed,53.0,2023-05-12 17:24:24,2023-05-14 22:24:24,Urgent,True,Medium,Within SLA,May,2023,2,Friday,3,218,31
1352245005,Assistance for Enhancing Brand Growth,Would it be possible to provide more information on the digital strategies and services available for brand growth? Thank you.,Request,High,Product Support,Resolved,110.0,2024-03-16 20:19:26,2024-03-21 10:19:26,Neutral,True,Slow,Breached,March,2024,1,Saturday,3,126,20
1352245006,Problem with Investment Analytics Platform,"The investment analytics platform has unexpectedly become sluggish, potentially due to problems with MongoDB 4.4 Azure integration. Attempts to resolve this by restarting ... ving this issue would be greatly appreciated.",Problem,High,Customer Service,Closed,123.0,2025-03-11 17:26:37,2025-03-16 20:26:37,Satisfied,True,Slow,Breached,March,2025,1,Tuesday,3,220,31
1352245007,Issue with Billing Discrepancies,"Dear Customer Support,\n\nI am reaching out to highlight a billing inconsistency observed with recent software and hardware purchases. After carefully reviewing the invoi ... these inconsistencies still persist.\n\nCould",Problem,Medium,Billing and Payments,Closed,138.0,2025-10-28 06:15:53,2025-11-03 00:15:53,Neutral,True,Slow,Breached,October,2025,4,Tuesday,2,220,28
1352245008,Reported Performance Problems in SaaS,"Customer Support, submitting a report regarding performance issues in SaaS. Experiencing sporadic performance slowdowns, which are suspected to be caused by conflicts amo ... know if you need any additional information.",Incident,Low,Technical Support,Resolved,131.0,2025-09-10 05:44:43,2025-09-15 16:44:43,Neutral,True,Slow,Breached,September,2025,3,Wednesday,1,219,31
1352245009,Strategies for Digital Brand Growth with Multiple Software Products,"Dear Customer Support, <br><br>Could you provide insights into digital strategies that enhance brand growth when a business offers several software solutions? In the mode ... e soon. <br><br>Best regards, <br>[Your Name]",Request,Medium,Returns and Exchanges,Closed,83.0,2025-08-19 23:42:58,2025-08-23 10:42:58,Satisfied,True,Slow,Breached,August,2025,3,Tuesday,2,220,31
1352245010,,Customer support inquiry: A financial organization encountered errors during investment optimization data analysis. The problem may be related to software conflicts invol ... f any additional steps or information needed.,Problem,High,Product Support,In Progress,0.0,2024-06-04 16:43:26,,Frustrated,False,Unresolved,Within SLA,June,2024,2,Tuesday,3,220,30
1352245011,Assistance with Data Analytics Integration,"Hello, I would like to seek guidance on optimizing the integration of data analytics with the various software and hardware we use, in an effort to enhance our investment ... eration in improving our investment analysis.",Change,Low,Customer Service,In Progress,0.0,2023-05-26 01:43:37,,Satisfied,False,Unresolved,Within SLA,May,2023,2,Friday,1,220,36
1352245012,Concern Regarding Service Outage and Its Impact on Digital Marketing,"Customer Support, <br><br>I am reporting an issue with a service outage that has affected our digital marketing strategies, leading to a decline in the performance of our ... te the resolution process. <br><br>Thank you.",Incident,High,Service Outages and Maintenance,Closed,95.0,2023-12-31 20:32:09,2024-01-04 19:32:09,Frustrated,True,Slow,Breached,December,2023,4,Sunday,3,220,34
1352245013,,"Digital applications such as Slack, Magento, and Sony Vegas Pro 18 are crashing often, interrupting campaign processes. Recent updates to the software might be leading to ... been tried, but the issues remain unresolved.",Problem,High,Technical Support,Closed,108.0,2025-11-11 03:38:26,2025-11-15 15:38:26,Neutral,True,Slow,Breached,November,2025,4,Tuesday,3,220,34
1352245014,,"Customer Support, reporting an issue with report synchronization in the project management SaaS. Experiencing sporadic sync failures, which may be caused by server overlo ... e advise on additional troubleshooting steps.",Problem,Low,Product Support,In Progress,0.0,2024-04-27 05:16:35,,Satisfied,False,Unresolved,Within SLA,April,2024,2,Saturday,1,220,31
1352245015,,have encountered delays in data processing during the weekly analytics run. this might be due to an increase in data volume or server performance issues.,Incident,Medium,Technical Support,Closed,128.0,2023-12-15 23:12:39,2023-12-21 07:12:39,Frustrated,True,Slow,Breached,December,2023,4,Friday,2,153,25
1352245016,Improve Investment Strategies with Advanced Data Analytics Tools,"Greetings, Customer Support. We are inquiring about the implementation of data analytics tools to enhance investment strategies and optimize portfolio performance across ... from you soon. Thank you for your assistance.",Change,Medium,IT Support,Closed,41.0,2023-11-06 08:06:07,2023-11-08 01:06:07,Frustrated,True,Medium,Within SLA,November,2023,4,Monday,2,219,31
1352245017,,Would you be able to share information on digital strategies that boost brand growth? Thank you.,Request,Medium,Billing and Payments,Closed,76.0,2023-08-17 21:45:14,2023-08-21 01:45:14,Urgent,True,Slow,Breached,August,2023,3,Thursday,2,96,16
1352245018,Problem with Metrics Tracking,The metrics for the digital campaign are not being tracked accurately. This could be due to an incorrect setup of the API integration. I have already checked the API cred ... steps to troubleshoot or resolve this issue?,Incident,Medium,Customer Service,Closed,80.0,2023-02-07 22:38:40,2023-02-11 06:38:40,Frustrated,True,Slow,Breached,February,2023,1,Tuesday,2,219,38
1352245019,Customer Support Enquiry on Brand Growth Strategies,"Customer Support, we are looking to inquire about the digital strategies and services you offer for brand growth. Could you provide information on the methods and techniq ... o hearing from you soon. Regards, [Your Name]",Request,Low,Returns and Exchanges,Closed,142.0,2023-03-13 18:58:20,2023-03-19 16:58:20,Satisfied,True,Slow,Breached,March,2023,1,Monday,1,220,36
1352245020,Discrepancies Observed in Investment Performance Indicators,"Dear Support Team, recently, our data analytics reports have highlighted inconsistencies in investment performance indicators. These discrepancies might be due to outdate ... ving this issue at your earliest convenience.",Problem,Low,IT Support,Resolved,128.0,2024-01-16 08:23:29,2024-01-21 16:23:29,Urgent,True,Slow,Breached,January,2024,1,Tuesday,1,220,30
1352245021,Marketing Project Inquiry,Is it possible to get detailed information on optimizing ClickUp for marketing projects? Thank you!,Request,Medium,IT Support,Closed,107.0,2025-01-08 02:22:00,2025-01-12 13:22:00,Urgent,True,Slow,Breached,January,2025,1,Wednesday,2,99,15
1352245022,Performance Concerns in SaaS Application,"Customer Support team, reporting an issue with the SaaS application's recent update affecting performance. The application appears to be significantly slowed down, possib ... tly. Could you please investigate the matter?",Incident,High,Product Support,Resolved,162.0,2025-08-07 13:56:43,2025-08-14 07:56:43,Frustrated,True,Slow,Breached,August,2025,3,Thursday,3,220,31
1352245023,Request for DataRobot HubSpot CRM Integration Details,Could you provide information on integrating DataRobot with HubSpot CRM for project management? Thank you.,Request,Medium,Returns and Exchanges,Closed,76.0,2023-04-24 03:13:59,2023-04-27 07:13:59,Satisfied,True,Slow,Breached,April,2023,2,Monday,2,106,15
1352245024,Unanticipated Crash of Investment Data Analytics Dashboard,The investment data analytics dashboard has unexpectedly crashed. It could be due to a recent Oracle Database update that might not be compatible. We have tried restartin ... sue to prevent further service interruptions.,Incident,High,Technical Support,Resolved,118.0,2024-12-08 11:08:43,2024-12-13 09:08:43,Neutral,True,Slow,Breached,December,2024,4,Sunday,3,220,34
1352245025,,Would you be able to offer insights on digital strategies that could enhance brand growth? Thank you!,Request,High,Technical Support,Closed,141.0,2024-10-05 19:28:50,2024-10-11 16:28:50,Urgent,True,Slow,Breached,October,2024,4,Saturday,3,101,17
1352245026,,"Dear Customer Support, I am contacting you to request an enhancement in our digital marketing strategies to boost our brand visibility and engagement, particularly for ou ... to reach a wider audience and increase sales.",Change,Medium,Sales and Pre-Sales,Closed,144.0,2025-09-05 07:21:18,2025-09-11 07:21:18,Neutral,True,Slow,Breached,September,2025,3,Friday,2,220,35
1352245027,Problem Report for SaaS Platform,"The SaaS platform encountered outages, potentially caused by server overload or software glitches. Additional server capacity was added and patches were implemented.",Problem,Medium,Returns and Exchanges,Closed,138.0,2025-06-13 06:34:00,2025-06-19 00:34:00,Satisfied,True,Slow,Breached,June,2025,2,Friday,2,165,22
1352245028,,"Customer Support, please investigate a potential security breach in the hospital's systems. An unauthorized access attempt has been detected, which may have compromised m ... vent potential breaches and protect the data.",Incident,High,Product Support,Closed,137.0,2023-10-30 01:04:15,2023-11-04 18:04:15,Urgent,True,Slow,Breached,October,2023,4,Monday,3,220,32
1352245029,Guide for Integrating Adobe CC SaaS,I need assistance with integrating the Adobe Illustrator CC 2021 SaaS platform. Can you provide detailed steps for the integration process?,Request,High,Technical Support,Closed,105.0,2025-12-17 17:58:05,2025-12-22 02:58:05,Urgent,True,Slow,Breached,December,2025,4,Wednesday,3,139,21
1352245030,Sales Collateral Update Request,I would like to request that the sales collateral be updated with the details of the new project management feature. This will help our sales team provide the latest information to our customers.,Change,Medium,Sales and Pre-Sales,Resolved,158.0,2024-08-19 11:45:17,2024-08-26 01:45:17,Frustrated,True,Slow,Breached,August,2024,3,Monday,2,195,33
1352245031,Concern Regarding Digital Campaign Effectiveness,Digital campaigns did not perform as expected owing to inadequate data analysis and ineffective targeting strategies. We have revised the ad targeting and boosted the budget allocation.,Incident,Medium,Customer Service,Closed,109.0,2025-02-06 23:43:00,2025-02-11 12:43:00,Urgent,True,Slow,Breached,February,2025,1,Thursday,2,185,27
1352245032,Adobe Illustrator,I am seeking advice on leveraging Adobe Illustrator CC 2021 for brand growth strategies. Could you provide insights on how to effectively utilize the software to enhance ... visual identity and create engaging content?,Request,High,Sales and Pre-Sales,Closed,112.0,2024-09-12 20:08:19,2024-09-17 12:08:19,Frustrated,True,Slow,Breached,September,2024,3,Thursday,3,218,34
1352245033,Concerns Regarding QuickBooks Online Integration Mismatches,"Dear Support Team, recently, discrepancies have emerged in the QuickBooks Online integration, which might be due to a syncing error post-update. I have attempted to manua ... ow if you require any additional information.",Problem,High,Billing and Payments,Closed,125.0,2024-01-15 00:23:57,2024-01-20 05:23:57,Frustrated,True,Slow,Breached,January,2024,1,Monday,3,220,34
1352245034,,"An issue with encrypting medical data has been reported. This could be a result of an older version of Symantec Endpoint Protection. We have restarted the servers, updated Figma, and reviewed the logs for Cassandra 4.0.",Problem,Medium,Billing and Payments,Closed,137.0,2023-08-18 05:51:30,2023-08-23 22:51:30,Frustrated,True,Slow,Breached,August,2023,3,Friday,2,219,36
1352245035,Performance Challenges in Data Analytics,"We are currently facing performance issues with our data analytics, which are hindering the optimization of our investment processes. The slowdown could be due to system ... if we need to provide additional information.",Incident,High,Technical Support,In Progress,0.0,2025-10-16 03:36:55,,Satisfied,False,Unresolved,Within SLA,October,2025,4,Thursday,3,219,34
1352245036,Problem with Microsoft Teams Firebase Connection,"The marketing team is facing connectivity problems with Microsoft Teams Firebase, which is impeding our collaboration. This issue might have arisen due to recent software ... take and the information you require from us.",Incident,Medium,IT Support,Resolved,1.0,2025-12-04 04:25:18,2025-12-04 05:25:18,Neutral,True,Fast,Within SLA,December,2025,4,Thursday,2,220,34
1352245037,Enhancing Security of Medical Data in PostgreSQL 13,Inquiring about support for securing medical data within PostgreSQL 13 to comply with healthcare standards. Medical data is highly sensitive and requires specific measure ... s to meet healthcare compliance requirements?,Request,High,Technical Support,In Progress,0.0,2023-01-09 14:43:32,,Neutral,False,Unresolved,Within SLA,January,2023,1,Monday,3,220,31
1352245038,Recurring Crash Issues,"PowerPoint keeps crashing frequently during presentations. This might be caused by software conflicts or outdated drivers. Despite restarting, updating, and temporarily disabling antivirus, the problem still occurs.",Problem,Medium,IT Support,Resolved,152.0,2023-06-15 13:51:44,2023-06-21 21:51:44,Frustrated,True,Slow,Breached,June,2023,2,Thursday,2,215,27
1352245039,,"request update for software compatibility, optimization tools, enhance digital strategy execution, and brand growth. this will enable us to better serve customers and improve overall performance.",Change,Medium,IT Support,Resolved,110.0,2024-10-22 10:35:56,2024-10-27 00:35:56,Neutral,True,Slow,Breached,October,2024,4,Tuesday,2,195,26
1352245040,Urgent Attention Required for Enhanced Encryption of Medical Data,I am contacting you to highlight the necessity of improved encryption measures for the storage and transmission of medical data on the relevant products and systems. This ... . I am looking forward to your response soon.,Change,Medium,Billing and Payments,In Progress,0.0,2023-12-06 22:59:20,,Satisfied,False,Unresolved,Within SLA,December,2023,4,Wednesday,2,220,37
1352245041,Support Inquiry on Data Analytics for Investment Optimization,"Hello, we are seeking support with understanding how data analytics can be utilized to optimize investments for better outcomes. Could you provide some insights or guidan ... pertise. Your support is greatly appreciated.",Request,Medium,Customer Service,Closed,51.0,2023-10-01 05:31:50,2023-10-03 08:31:50,Urgent,True,Medium,Within SLA,October,2023,4,Sunday,2,220,33
1352245042,,"Customer Support, We have noticed a substantial decline in engagement metrics for our digital campaigns. This might be due to recent app updates that have affected perfor ... e issue and improve our campaign performance.",Incident,Medium,Product Support,Closed,4.0,2025-12-17 01:28:17,2025-12-17 05:28:17,Satisfied,True,Fast,Within SLA,December,2025,4,Wednesday,2,220,35
1352245043,Support Required for Major Service Outage,Facing significant service outage impacting access to healthcare data. The issue might stem from a network configuration error or a security breach. Have already attempte ... rt the services and checked the connectivity.,Incident,High,Service Outages and Maintenance,Closed,123.0,2025-03-15 14:51:52,2025-03-20 17:51:52,Satisfied,True,Slow,Breached,March,2025,1,Saturday,3,220,33
1352245044,Request for Digital Brand Growth Strategies,"Customer Support, looking to inquire about digital strategies for brand growth. Could you provide details on the approaches to digital marketing services that are availab ... aring back soon. Help is greatly appreciated.",Request,High,Technical Support,Closed,69.0,2024-12-22 15:40:30,2024-12-25 12:40:30,Frustrated,True,Medium,Within SLA,December,2024,4,Sunday,3,220,33
1352245045,Technical Problem with Project Dashboard,Customers are facing occasional delays when loading the project dashboard. This might be caused by the increased server load during peak usage times. A user has already a ... lear the cache and optimize database queries.,Incident,Medium,Product Support,Resolved,51.0,2023-03-20 00:16:37,2023-03-22 03:16:37,Frustrated,True,Medium,Within SLA,March,2023,1,Monday,2,220,36
1352245046,Issues with Underperforming Marketing Campaigns Affecting Growth,"Marketing campaigns are underperforming, which is affecting growth. Ineffective strategies and tool issues might be contributing factors. We have analyzed the data and ad ... targeting, but there has been no improvement.",Incident,Medium,Product Support,Closed,115.0,2025-05-15 21:35:39,2025-05-20 16:35:39,Satisfied,True,Slow,Breached,May,2025,2,Thursday,2,220,32
1352245047,Security Measures for Medical Data on Handheld Scanners,"I am contacting you to learn about the best security procedures for storing and transmitting medical data via our Handheld Scanners, which are crucial for protecting pati ... you can provide would be greatly appreciated.",Request,Low,Human Resources,In Progress,0.0,2024-01-23 02:47:06,,Neutral,False,Unresolved,Within SLA,January,2024,1,Tuesday,1,220,35
1352245048,Security Notification: Potential Medical Data Breach,"Dear Customer Support, we are notifying you that the healthcare provider's secure medical data system at the hospital has detected a possible breach attempt. An investiga ... ilable. In the meantime, please rest assured.",Incident,Low,Technical Support,Pending,0.0,2023-07-08 12:34:35,,Urgent,False,Unresolved,Within SLA,July,2023,3,Saturday,1,220,34
1352245049,Scikit Learn Assistance Required,I am seeking customer support for integrating Scikit-learn with my SAP ERP system to perform investment analysis. Could you provide guidance on how to accomplish this tas ... assistance. I look forward to your response.,Request,Low,Customer Service,Resolved,79.0,2024-12-10 02:07:49,2024-12-13 09:07:49,Neutral,True,Slow,Breached,December,2024,4,Tuesday,1,219,35
1352245050,Trouble with Asana Task Synchronization,"I am encountering difficulties while trying to synchronize my Asana tasks, which may stem from an API conflict. Despite attempting to restart the integration, the problem ... the API conflict? Thank you for your support.",Problem,Medium,Product Support,Closed,105.0,2023-07-27 03:14:31,2023-07-31 12:14:31,Urgent,True,Slow,Breached,July,2023,3,Thursday,2,220,35
1352245051,Problem With Several Devices,Various tools and devices are not functioning properly. They might be due to a system overload or compatibility problems. You have restarted the devices and ensured they have the latest updates.,Incident,Medium,Technical Support,In Progress,0.0,2024-12-22 19:09:19,,Frustrated,False,Unresolved,Within SLA,December,2024,4,Sunday,2,194,31
1352245052,,"Customer support, recent data batch investment analysis encountered issues during the processing stage. The interruption on the analytics dashboard might be due to a serv ... nd prevent similar occurrences in the future.",Incident,Medium,Technical Support,Resolved,51.0,2025-11-03 01:06:06,2025-11-05 04:06:06,Frustrated,True,Medium,Within SLA,November,2025,4,Monday,2,220,33
1352245053,Problem with Application Crash,Facing issues with application crashing,Incident,High,Technical Support,Closed,147.0,2025-04-05 02:01:54,2025-04-11 05:01:54,Neutral,True,Slow,Breached,April,2025,2,Saturday,3,39,5
1352245054,Challenges in Marketing Strategies,"We have faced considerable challenges with our digital marketing strategies, leading to a halt in brand growth. This may be due to the ineffective use of software tools l ... the problem and explore potential solutions.",Problem,High,Product Support,In Progress,0.0,2025-05-18 06:14:42,,Frustrated,False,Unresolved,Within SLA,May,2025,2,Sunday,3,219,36
1352245055,Inquiry About SaaS Project Management Tools,"I am interested in learning about the features and pricing plans of your SaaS project management tools. Could you provide details on the features, pricing plans, and any ... formation in a follow-up email or phone call.",Request,Low,Returns and Exchanges,Closed,110.0,2025-07-14 00:04:17,2025-07-18 14:04:17,Urgent,True,Slow,Breached,July,2025,3,Monday,1,219,37
1352245056,Concern Regarding Dashboard Performance,"Dear Customer Support, Recently, users have encountered substantial delays while accessing the project management dashboard. This may be due to an increase in user load i ... any additional information you need from us.",Problem,High,Technical Support,Resolved,55.0,2024-05-07 21:43:30,2024-05-10 04:43:30,Satisfied,True,Medium,Within SLA,May,2024,2,Tuesday,3,219,34
1352245057,Revise Billing System,"Customer support team, requesting an update to the billing system to include support for multiple payment options. The current system is outdated and requires security im ... tance. We look forward to your response soon.",Change,High,Billing and Payments,Closed,94.0,2024-11-18 12:19:59,2024-11-22 10:19:59,Urgent,True,Slow,Breached,November,2024,4,Monday,3,220,35
1352245058,Billing Details,"Can you provide information on the different billing options, payment plans, and project management for SaaS? Your assistance is greatly appreciated. Please let me know a ... via call at <tel_num> or email at <acc_num>.",Request,Medium,Billing and Payments,Closed,150.0,2025-08-09 17:20:02,2025-08-15 23:20:02,Frustrated,True,Slow,Breached,August,2025,3,Saturday,2,219,35
1352245059,Project Management SaaS Encounters Occasional Performance Lags,"Servers were rebooted, software was upgraded, and network hardware was inspected; however, the problem continues, potentially due to CPU overheating.",Incident,Low,Customer Service,Resolved,38.0,2025-02-23 03:29:38,2025-02-24 17:29:38,Satisfied,True,Medium,Within SLA,February,2025,1,Sunday,1,149,20
1352245060,Enhanced Analytics Features,Inquiring about support for incorporating advanced analytics features into the project. This would significantly boost our capability to track and analyze project perform ... forward to further discussion. Best regards.,Change,High,Technical Support,Closed,13.0,2024-10-24 22:02:54,2024-10-25 11:02:54,Satisfied,True,Fast,Within SLA,October,2024,4,Thursday,3,219,30
1352245061,Problems with Data Consistency in Financial Analysis Tools,"A financial company is encountering data inconsistency issues while analyzing investment trends, which may be linked to integration errors in the software. Despite attemp ... checking for updates, discrepancies persist.",Problem,Medium,Customer Service,Closed,40.0,2025-05-01 02:08:48,2025-05-02 18:08:48,Frustrated,True,Medium,Within SLA,May,2025,2,Thursday,2,219,30
1352245062,Enhancing Security for Medical Data with Norton 360 Solutions,I require assistance in securing medical data using Norton 360 healthcare systems. Could you provide details on the best practices and features to ensure compliance and protection?,Request,Medium,Technical Support,Closed,133.0,2024-11-23 16:51:51,2024-11-29 05:51:51,Neutral,True,Slow,Breached,November,2024,4,Saturday,2,180,27
